"LocalityName3","Treatment","Subplot","Moss_depth","CCI","UCI","Soil_temp","avenellaBM","shrubBM","total_SR","moss_SR","vasc_SR","simpsons_moss","simpsons_vasc","shannon_vasc","shannon_moss"
"Sl_Tydal","Exclosed",1,5.53333333333333,9.3875,-0.282727918734183,10.863686440678,1.99319375,123.4878125,15,6,9,0.812071330589849,0.55038703626572,0.924752393441715,1.7275096755068
"Sl_Tydal","Exclosed",2,2.13333333333333,31.1775,-0.315264656654255,10.4267019774011,6.0943375,114.18655,11,5,6,0.75765306122449,0.439179380847195,0.74011089823487,1.50958259130766
"Sl_Tydal","Exclosed",3,3.875,23.93,-0.647283700109276,10.3284936440678,9.44981875,67.6802375,12,5,7,0.785444234404537,0.573080115054339,1.140649110447,1.57615749386074
"Sl_Tydal","Exclosed",4,4.13333333333333,2.73,-0.0712542065627219,10.0715805084746,3.48451875,114.18655,14,4,10,0.7,0.641906632366552,1.3004278451295,1.27985422583367
"Sl_Tydal","Exclosed",5,7.5625,0,-0.793790526866462,10.0096624293785,0,100.23465625,10,6,4,0.731301939058172,0.465429157077057,0.71412381633328,1.48824083575803
"Sl_Tydal","Exclosed",6,0.6,83.4825,-0.677809889676777,9.43411511299435,15.0422875,15.23759375,13,5,8,0.736842105263158,0.765645835922197,1.51667555156903,1.47552649008373
"Sl_Tydal","Exclosed",7,6.33333333333333,0,-0.594095433742608,9.80668290960452,6.46716875,90.93339375,12,5,7,0.698060941828255,0.270040260420015,0.579683207039018,1.33714535007282
"Sl_Tydal","Exclosed",8,2.93333333333333,20.8575,0.659034163907484,8.97364124293785,16.5336125,67.6802375,19,6,13,0.767485822306238,0.775126867246344,1.68216262758765,1.59792650975804
"Sl_Tydal","Exclosed",9,2,60.645,2.06574427875865,9.07819491525424,8.331325,39.77645,14,4,10,0.485207100591716,0.807677780615016,1.80687217556667,0.937155853065701
"Sl_Tydal","Exclosed",10,3.75,12.9775,-0.0616597514693047,9.61848163841808,10.94114375,109.45349375,13,5,8,0.683431952662722,0.559650543328299,1.13834087050734,1.32072259008138
